10,440,239726,77603,32485
10,471,239726,80823,44833
10,431,239726,80429,32111
10,463,239726,81942,32551
10,492,239726,82039,32668
10,336,239726,79174,31372
10,393,239726,78906,31012
10,499,239726,79635,31760
10,393,239726,77824,31155
10,409,239726,78616,32009
10,471,239726,78740,31695
10,325,239726,77812,31199
10,458,239726,77072,30766
10,433,239726,77361,31512
10,462,239726,78269,31447
10,353,239726,78720,31055
10,502,239726,77911,31506
10,490,239726,78634,31022
10,437,239726,78955,31414
10,487,239726,99732,39920
10,427,239726,79512,32137
10,469,239726,78761,30716
10,449,239726,77835,30522
10,369,239726,77967,31411
10,393,239726,79708,42402
10,449,239726,77901,31546
10,328,239726,77625,32456
10,391,239726,77499,31031
10,301,239726,78625,32302
10,361,239726,78766,32123
20,983,239720,77695,31248
20,873,239729,84956,35620
20,947,239720,121676,56191
20,839,239720,82149,33154
20,888,239720,79041,31349
20,818,239720,79183,31623
20,1017,239720,79099,31797
20,1004,239720,78531,31452
20,743,239720,80118,32196
20,802,239720,78845,32156
20,956,239720,78610,30996
20,695,239720,77552,31007
20,836,239720,77964,31863
20,841,239720,79417,32866
20,926,239720,79831,36733
20,781,239720,81548,33275
20,990,239720,79607,31353
20,979,239720,80053,31303
20,793,239720,79578,32467
20,880,239720,89362,36640
20,772,239720,78825,31569
20,988,239720,78761,31148
20,775,239720,80011,32902
20,901,239720,84801,32437
20,861,239720,78766,31738
20,800,239720,79105,32642
20,868,239729,80318,34468
20,734,239921,158678,31021
20,820,239720,79792,31952
20,902,239720,79061,31072
30,1470,239714,80944,31967
30,1221,239714,78962,31624
30,1348,239714,78229,32017
30,1246,239723,77410,31733
30,1380,239714,78193,31390
30,1215,239723,77023,31467
30,1401,239714,76423,31263
30,1418,239723,78486,31149
30,1200,239714,81448,32523
30,1206,239714,78447,31707
30,1388,239714,77894,31642
30,1128,239714,77586,31546
30,1296,239723,79441,31100
30,1297,239714,77288,31196
30,1352,239714,78340,31304
30,1175,239714,77199,31936
30,1421,239714,80060,32956
30,1444,239714,82261,34462
30,1140,239714,79102,32832
30,1228,239714,79223,33247
30,1160,239714,80543,31666
30,1355,239714,76376,31730
30,1087,239714,85080,31548
30,1409,239714,79136,32393
30,1247,239714,79550,32276
30,1239,239714,79693,33904
30,1388,239714,82414,31998
30,1148,239723,78057,33281
30,1197,239747,92245,31681
30,1224,239714,78164,32556
60,2466,239696,78561,32589
60,2635,239696,81491,32992
60,2735,239696,78939,31505
60,2678,239696,76990,31547
60,2719,239729,92675,32093
60,2412,239705,77296,31962
60,2463,239696,77157,31394
60,2644,239696,78578,32891
60,2337,239696,77657,31322
60,2528,239696,76957,31455
60,2679,239696,84352,38529
60,2704,239696,77942,31421
60,2725,239696,78409,31349
60,2368,239696,82576,33371
60,2688,239696,77116,32196
60,2689,239696,81028,36758
60,2709,239696,76132,31283
60,2648,239762,108204,32504
60,2488,239729,93140,32724
60,2415,239696,78142,31497
60,2311,239705,77036,31176
60,2605,239696,78786,32236
60,2461,239696,79152,32105
60,2691,239696,79121,31343
60,2579,239696,78336,30842
60,2467,239705,77630,31195
60,2682,239729,93382,31672
60,2414,239696,78471,31332
60,2483,239696,80569,31066
60,2497,239882,157377,40880
100,4298,239672,79187,31455
100,4451,239672,79459,31422
100,4449,239672,80051,31133
100,4324,239672,78415,31112
100,4645,239681,78695,31941
100,4133,239672,77756,31582
100,4242,239672,79174,32423
100,4199,239672,78657,31003
100,4171,239681,77373,30494
100,4003,239681,85934,31494
100,4474,239672,79438,31064
100,4568,239672,77653,31074
100,4812,239672,77652,31089
100,3927,239681,78065,31418
100,4430,239672,82223,32827
100,4295,239672,78554,31536
100,4284,239672,80074,31602
100,4407,239672,79023,31075
100,4350,239672,78065,30887
100,4128,239672,82555,35857
100,3964,239672,78612,31442
100,4443,239672,77731,31106
100,4111,239681,78993,31869
100,4286,239672,80129,31505
100,4293,239672,79992,33165
100,4196,239681,78382,31518
100,4531,239681,79944,32789
100,4034,239681,80051,31032
100,4052,239672,77952,30813
100,4410,239672,83880,31725
200,8368,239721,117844,30980
200,8652,239678,106041,30805
200,8545,240000,198236,32013
200,8752,239621,81570,31542
200,8959,239717,129767,31429
200,8664,239774,144000,31284
200,8399,239612,78065,30883
200,8644,239645,93917,31199
200,8136,239621,83050,32895
200,8298,239784,145143,31386
200,9217,239612,78228,31315
200,9045,239669,106270,31431
200,9000,239621,80121,32862
200,8190,239621,78241,31408
200,8814,239621,78173,31946
200,8456,239660,105817,31621
200,8489,239870,172293,31326
200,8604,239736,129870,31263
200,8781,239669,106049,31058
200,8534,239765,146168,31126
200,8333,239621,77595,31513
200,8553,239702,117260,31234
200,8338,239937,200137,39132
200,8948,239774,195398,45974
200,8491,239621,77923,31391
200,8220,239654,98173,33246
200,8734,239798,154014,31389
200,8291,239822,160803,32108
200,8529,239942,189193,31770
200,8658,239621,77939,31613
400,16656,239654,148442,37513
400,17155,239976,220992,31909
400,16929,239745,166376,31768
400,17156,239688,160485,32165
400,16841,239865,198182,33826
400,16891,239798,185714,32763
400,16961,239640,140221,31162
400,17082,239525,111586,41179
400,16229,239501,84091,33887
400,17177,239573,121766,31913
400,17250,239669,154506,32382
400,17744,239736,168510,31437
400,17611,239817,190177,31272
400,16305,239549,109742,32554
400,16844,239654,147841,31506
400,16781,239606,131183,31849
400,17246,239697,154226,31183
400,17408,239534,94447,31103
400,18029,239741,173569,31887
400,17448,239913,204692,30967
400,16664,239721,162377,31029
400,17408,239549,107701,30892
400,16946,239808,186916,32085
400,17835,239673,145919,31215
400,16759,239592,120233,31380
400,16790,239492,83082,31483
400,17411,239606,128463,31859
400,16900,239636,145139,32210
400,17315,239745,168034,32286
400,17242,239992,212611,32377
700,29719,239475,146950,31056
700,29829,239661,191891,32015
700,29988,239484,145895,31431
700,30257,239475,147603,32253
700,29830,239809,218797,32286
700,29223,239502,148251,31803
700,29888,239436,130429,31179
700,29546,239484,146825,32112
700,28423,240250,271678,31297
700,29993,239680,197274,33429
700,30168,239709,198892,31576
700,30511,239598,178298,33609
700,30236,239394,119808,31901
700,28613,239637,186726,30772
700,29976,239604,187482,31334
700,29426,239499,158478,31544
700,29642,239886,228140,31814
700,30606,239484,147318,31615
700,30215,239670,188966,31964
700,31064,239676,199262,32774
700,29162,239475,146247,31824
700,30247,239523,161222,31604
700,29548,239562,173136,31544
700,30663,239676,224399,42932
700,30439,239676,200107,31813
700,29661,239427,128576,31327
700,30653,239580,171766,30769
700,29290,239694,197296,31302
700,30379,239442,138456,31649
700,30404,239676,194649,30693
1000,42003,239930,251531,31120
1000,41694,239764,237766,30936
1000,42582,239457,184592,31286
1000,42812,239808,247750,32210
1000,42629,239448,184678,32117
1000,42431,239515,197005,33882
1000,42983,239515,195998,30974
1000,42478,239638,222005,43747
1000,41431,239457,182361,31583
1000,42734,239758,230358,31085
1000,42909,239428,171932,31127
1000,43400,239295,144726,31336
1000,43065,239472,189779,31310
1000,41287,239716,234740,32138
1000,42376,239472,194754,31726
1000,41972,239515,194938,31079
1000,42508,239587,212351,31450
1000,44062,239457,182881,31308
1000,42910,239635,214485,31242
1000,44800,239496,192949,31154
