10,440,54261,130884,149306
10,471,36356,153480,70192
10,431,36212,117182,72318
10,463,36444,173916,70924
10,492,54454,176322,109096
10,336,54294,137746,108998
10,393,36260,121028,69712
10,499,54286,129201,109827
10,393,36276,128587,69357
10,409,54140,73472,109875
10,471,54342,150477,120821
10,325,36356,148464,68733
10,458,54230,109611,110244
10,433,36516,185007,69474
10,462,36380,153893,70230
10,353,36323,147823,69507
10,502,36324,144741,78289
10,490,36171,90748,70622
10,437,36227,110832,69331
10,487,36380,157845,69799
10,427,36212,126438,70950
10,469,36163,122649,96230
10,449,36268,155003,109098
10,369,36468,178414,79641
10,393,36316,147374,69866
10,449,54269,118636,110071
10,328,36468,180766,69433
10,391,54318,142649,110692
10,301,36171,101436,69679
10,361,36164,89328,69722
20,983,54493,178538,111448
20,873,36387,154840,69016
20,947,54516,182456,109701
20,839,36331,142383,76795
20,888,36395,160689,70686
20,818,54460,175584,110206
20,1017,54285,129292,108877
20,1004,36532,187955,69717
20,743,36523,185224,69304
20,802,54613,205827,110947
20,956,36548,190245,70594
20,695,54373,150922,109096
20,836,36491,176999,72826
20,841,36499,176686,71743
20,926,36548,189648,69338
20,781,36403,162350,69173
20,990,54428,170949,115577
20,979,36467,171630,70130
20,793,36531,185259,69294
20,880,36595,200493,69777
20,772,36667,207621,78342
20,988,36347,150309,69525
20,775,54533,187433,110523
20,901,36652,202291,71073
20,861,54652,209040,110370
20,800,36435,165939,70245
20,868,36379,156159,71889
20,734,36411,159852,70026
20,820,36323,143078,69537
20,902,36691,216262,69930
30,1470,36691,213987,71519
30,1221,36715,214571,72182
30,1348,37323,297549,71575
30,1246,36819,231372,70156
30,1380,37043,254382,69647
30,1215,37027,254941,69951
30,1401,36547,190649,70000
30,1418,54482,177954,109606
30,1200,54628,209106,108778
30,1206,36763,217764,69134
30,1388,54508,180210,108714
30,1128,36675,211581,69503
30,1296,37099,259557,70664
30,1297,36746,217571,69525
30,1352,36698,211805,71255
30,1175,54524,199408,110625
30,1421,36651,201090,69380
30,1444,54484,180187,108973
30,1140,36795,226232,68989
30,1228,54524,187147,109565
30,1160,54316,144635,110655
30,1355,36611,198773,70348
30,1087,36811,225620,69702
30,1409,37019,247868,69148
30,1247,37011,250293,70311
30,1239,36907,240757,69741
30,1388,36450,167198,69373
30,1148,37059,256584,70258
30,1197,36699,213482,68844
30,1224,54538,190189,109611
60,2466,37073,253697,70070
60,2635,37145,262672,70070
60,2735,37162,266769,69988
60,2678,37641,309074,70721
60,2719,37498,296955,70309
60,2412,54898,251827,110880
60,2463,37482,297171,69328
60,2644,37961,334775,70646
60,2337,55393,298293,111018
60,2528,37538,299152,69450
60,2679,36921,239605,69107
60,2704,55080,279253,137914
60,2725,37321,286623,69196
60,2368,37305,280810,71758
60,2688,37633,310150,72576
60,2689,37242,284928,70628
60,2709,37001,244788,69805
60,2648,37266,275491,69111
60,2488,37169,265131,70397
60,2415,55130,264374,109794
60,2311,54948,249587,110626
60,2605,37241,271754,69097
60,2461,37241,273174,71762
60,2691,55257,274052,110510
60,2579,37201,265522,73500
