10,440,616,240408,57
10,471,352,173072,37
10,431,520,204547,45
10,463,424,181292,40
10,492,400,175604,36
10,336,376,176901,38
10,393,448,183619,31
10,499,352,164057,35
10,393,616,217663,46
10,409,400,216385,45
10,471,376,191345,37
10,325,520,212062,43
10,458,856,289297,53
10,433,544,201882,46
10,462,424,179963,38
10,353,424,178751,37
10,502,472,199829,44
10,490,448,186017,34
10,437,424,190034,37
10,487,304,152744,37
10,427,400,175612,32
10,469,424,176863,37
10,449,544,202838,44
10,369,328,161848,34
10,393,688,225785,47
10,449,592,209686,41
10,328,376,172351,43
10,391,496,198006,45
10,301,544,204888,53
10,361,304,158044,35
20,983,824,236109,64
20,873,944,253594,69
20,947,1040,264183,72
20,839,848,243415,69
20,888,920,248030,68
20,818,776,232205,72
20,1017,944,310559,81
20,1004,800,260064,70
20,743,776,230142,60
20,802,776,240757,71
20,956,1040,306931,82
20,695,800,318298,59
20,836,800,248054,59
20,841,848,293937,80
20,926,752,356851,85
20,781,776,293040,124
20,990,728,345573,84
20,979,1088,325862,82
20,793,680,237461,61
20,880,776,269688,85
20,772,944,264094,75
20,988,824,242936,60
20,775,920,251513,85
20,901,1064,266305,74
20,861,824,238516,69
20,800,848,239853,65
20,868,704,314343,87
20,734,752,241666,84
20,820,728,262517,72
20,902,800,242625,69
30,1470,1416,302575,104
30,1221,1248,282979,92
30,1348,1152,274251,96
30,1246,1128,273168,94
30,1380,1368,318893,130
30,1215,1224,289460,110
30,1401,1032,266016,86
30,1418,1128,335695,116
30,1200,1200,302618,118
30,1206,1152,327356,100
30,1388,1056,272330,85
30,1128,1464,310931,121
30,1296,1416,299193,110
30,1297,1344,295325,109
30,1352,1056,262492,96
30,1175,1176,280305,94
30,1421,1344,293540,96
30,1444,1200,282885,82
30,1140,1416,299710,103
30,1228,1248,331873,132
30,1160,1128,291085,108
30,1355,1344,315968,111
30,1087,1488,335127,144
30,1409,1200,296249,124
30,1247,1200,284870,113
30,1239,1152,287187,104
30,1388,1200,288782,101
30,1148,1272,300408,112
30,1197,1176,287877,120
30,1224,1128,272316,87
60,2466,2568,375863,200
60,2635,2784,407886,218
60,2735,2472,367454,187
60,2678,2136,344873,185
60,2719,3264,405373,225
60,2412,2184,351862,181
60,2463,2208,345836,202
60,2644,2304,394283,175
60,2337,2472,370980,187
60,2528,2400,355486,192
60,2679,2424,359759,175
60,2704,2496,365989,191
60,2725,2640,377169,179
60,2368,2400,359533,186
60,2688,2328,354465,202
60,2689,2376,359715,195
60,2709,2496,368529,203
60,2648,2016,392252,263
60,2488,2160,840523,273
60,2415,2640,422685,207
60,2311,2496,369827,179
60,2605,2208,353613,172
60,2461,2184,452761,242
60,2691,2256,358417,193
60,2579,2544,369814,209
60,2467,2280,352679,175
60,2682,2304,349945,187
60,2414,2400,362921,187
60,2483,2184,342112,170
60,2497,2256,348020,162
100,4298,4192,448344,354
100,4451,4048,436295,311
100,4449,3784,427724,301
100,4324,3472,407472,258
100,4645,3664,420117,282
100,4133,3784,429484,291
100,4242,3808,425885,308
100,4199,3664,423036,278
100,4171,3808,433333,313
100,4003,3880,426860,303
100,4474,3568,412334,304
100,4568,3784,426057,291
100,4812,4072,438243,314
100,3927,3712,426623,308
100,4430,3760,426612,309
100,4295,3736,453423,316
100,4284,4024,442562,323
100,4407,4216,447845,305
100,4350,3832,431945,368
100,4128,4240,446500,328
100,3964,3640,424210,293
100,4443,3544,415227,262
100,4111,3520,417432,294
100,4286,3808,427579,292
100,4293,3976,432940,290
